Month,Year,Fractional Date,Excel Date,CPI,SPX-TR,10Y BM,Cash,Gold,CAPE,SPX-TR Return,10YBond Return,Cash Return,Gold Return,Fama-French Small Stocks,Fama-French Value Stocks,Portfolio,Cumulative Backward Return,C1,Sum of Ct,Sum of CtPt,10 Y BM 1 year avg
1,1871,"1,871.00",N/A,12.46410,100.00000,100.00000,100.00000,22.59000,11.1000,,,,,Fama French Factors only available starting in 1926,,,,,,,
2,1871,"1,871.08",N/A,12.84460,101.86680,102.29340,100.52920,22.59000,10.9167,-1.1508352241408900%,-0.7368725425470620%,-2.4488110396586800%,-2.9623343661928000%,0.00%,0.00%,-1.49%,"34,559.24",6.67,"1,162.10",0.30,-0.74%
3,1871,"1,871.17",N/A,13.03500,104.86650,103.44040,101.06110,22.59000,11.1859,1.4410319117829300%,-0.3557767240146110%,-0.9393112469677450%,-1.4606827771384700%,0.00%,0.00%,0.77%,"35,081.94",6.98,"1,191.81",0.31,-0.55%
4,1871,"1,871.25",N/A,12.55920,108.44610,105.05180,101.59590,22.59000,12.0553,7.3312590800419300%,5.4052799272909000%,4.3376906273558500%,3.7884578635581700%,0.00%,0.00%,6.53%,"34,812.71",6.87,"1,176.66",0.31,1.44%
5,1871,"1,871.33",N/A,12.27380,111.47450,106.72990,102.13350,22.59000,12.5934,5.1827518795121400%,3.9598247101645600%,2.8667377778846400%,2.3252782349394700%,0.00%,0.00%,4.55%,"32,679.13",6.66,"1,208.95",0.32,2.07%
6,1871,"1,871.42",N/A,12.08350,111.08290,107.94940,102.67400,22.59000,12.5945,1.2180513317131500%,2.7354733106599800%,2.1124185328501600%,1.5748748293126900%,0.00%,0.00%,1.37%,"31,256.16",6.45,"1,218.42",0.32,2.20%
7,1871,"1,871.50",N/A,12.08350,109.54970,106.62930,103.21730,22.59000,12.2670,-1.3802304405088300%,-1.2228877603766300%,0.5291505152229310%,0.0000000000000000%,0.00%,0.00%,-1.09%,"30,834.41",6.07,"1,157.56",0.31,1.63%
8,1871,"1,871.58",N/A,11.89320,111.17500,107.49900,103.76350,22.59000,12.5543,3.1074318418501800%,2.4287541421640600%,2.1377160384398600%,1.6000739918609100%,0.00%,0.00%,2.77%,"31,175.41",6.26,"1,174.90",0.31,1.74%
9,1871,"1,871.67",N/A,12.17860,112.80660,108.90610,104.31260,22.59000,12.3136,-0.9102512341511940%,-1.0651869791320000%,-1.8266719504271800%,-2.3434549127157400%,0.00%,0.00%,-1.20%,"30,333.79",6.03,"1,157.58",0.31,1.39%
10,1871,"1,871.75",N/A,12.36890,107.48600,108.58510,104.86460,22.59000,11.4754,-6.1825380649790700%,-1.8287506722063500%,-1.0174991302282600%,-1.5385361673228800%,0.00%,0.00%,-5.03%,"30,702.88",6.33,"1,195.25",0.32,1.04%
11,1871,"1,871.83",N/A,12.36890,109.13440,109.22350,105.41950,22.59000,11.6004,1.5335950728466900%,0.5879259677432860%,0.5291585530293300%,0.0000000000000000%,0.00%,0.00%,1.18%,"32,330.24",6.82,"1,217.06",0.33,0.99%
12,1871,"1,871.92",N/A,12.65440,112.25460,110.10270,105.97730,22.59000,11.5830,0.5384074703845170%,-1.4693381256399700%,-1.7389458758916600%,-2.2561322543937300%,0.00%,0.00%,-0.12%,"31,952.53",7.14,"1,283.09",0.35,0.77%
1,1872,"1,872.00",N/A,12.65440,115.42200,107.31280,106.66700,23.19000,11.8986,2.8216215638379200%,-2.5339069795745400%,0.6507997467382290%,2.6560424966799400%,0.00%,0.00%,2.52%,"31,990.40",7.31,"1,305.92",0.36,0.49%
2,1872,"1,872.08",N/A,12.65440,116.53620,107.23100,107.36130,23.19000,11.9609,0.9653272339761990%,-0.0762257624439933%,0.6509042159243310%,0.0000000000000000%,0.00%,0.00%,0.72%,"31,203.08",7.37,"1,344.04",0.37,0.55%
3,1872,"1,872.17",N/A,12.84460,120.62180,108.12320,108.06000,23.19000,12.1765,1.9731714485136300%,-0.6610630004394880%,-0.8396215529798190%,-1.4807779144543200%,0.00%,0.00%,1.15%,"30,979.20",7.51,"1,373.37",0.38,0.52%
4,1872,"1,872.25",N/A,13.13010,124.72750,110.78280,108.76330,23.19000,12.2553,1.1553746803848000%,0.2319079930442670%,-1.5377029302513900%,-2.1743931881707100%,0.00%,0.00%,0.45%,"30,626.03",7.73,"1,423.01",0.39,0.09%
5,1872,"1,872.33",N/A,13.13010,125.26070,113.51700,109.47120,23.19000,12.2783,0.4274919324126490%,2.4680726610990100%,0.6508629289475380%,-0.0000000000000111%,0.00%,0.00%,0.45%,"30,490.12",8.06,"1,482.93",0.41,-0.03%
6,1872,"1,872.42",N/A,13.03500,124.59420,115.27710,110.18370,23.19000,12.2646,0.1936019572447380%,2.2914030558458300%,1.3851788172758900%,0.7295742232451110%,0.00%,0.00%,0.41%,"30,354.58",8.36,"1,537.91",0.43,-0.07%
7,1872,"1,872.50",N/A,12.84460,124.22720,113.22250,110.90080,23.19000,12.3790,1.1834124313034700%,-0.3263989700069470%,2.1428045722788200%,1.4823349890226200%,0.00%,0.00%,1.17%,"30,231.18",8.10,"1,487.87",0.42,0.00%
8,1872,"1,872.58",N/A,12.93980,123.31930,113.57550,111.62250,23.19000,12.1348,-1.4611760673841100%,-0.4262329084219860%,-0.0897406044588434%,-0.7357146169183370%,0.00%,0.00%,-1.26%,"29,881.50",8.06,"1,491.97",0.42,-0.23%
9,1872,"1,872.67",N/A,13.03500,122.12220,112.55880,112.34900,23.19000,11.8245,-1.6939838056421900%,-1.6189790076881700%,-0.0842404055129253%,-0.7303413885692330%,0.00%,0.00%,-1.50%,"30,263.38",8.73,"1,588.53",0.45,-0.28%
10,1872,"1,872.75",N/A,12.74950,123.06510,114.41020,113.08020,23.19000,12.1327,3.0286885547104100%,3.9209654112850200%,2.9047066540686300%,2.2393035020981300%,0.00%,0.00%,2.92%,"30,722.68",8.80,"1,568.81",0.45,0.20%
11,1872,"1,872.83",N/A,13.13010,123.38330,115.38710,113.81620,23.19000,11.7136,-2.6476157432026700%,-2.0695763644161100%,-2.2666842149488600%,-2.8986831783459500%,0.00%,0.00%,-2.67%,"29,851.63",8.68,"1,583.98",0.45,-0.02%
12,1872,"1,872.92",N/A,12.93980,126.80020,116.75180,114.55690,23.19000,12.1679,4.2807213678089700%,2.6707646238288000%,2.1310133437977500%,1.4706564243651500%,0.00%,0.00%,3.64%,"30,669.41",8.57,"1,514.68",0.43,0.32%
1,1873,"1,873.00",N/A,12.93980,128.34880,115.40600,115.35410,22.74000,12.2476,1.2212914490671300%,-1.1527017142348100%,0.6958987193263820%,-1.9404915912031300%,0.00%,0.00%,0.47%,"29,592.05",8.36,"1,523.71",0.44,0.44%
2,1873,"1,873.08",N/A,13.22520,130.22780,116.20790,116.15670,22.74000,12.0594,-0.7256146811171370%,-1.4781450693907900%,-1.4772454573082000%,-2.1580013912833000%,0.00%,0.00%,-1.05%,"29,452.82",8.40,"1,531.99",0.44,0.32%
3,1873,"1,873.17",N/A,13.22520,129.64950,117.77250,116.96500,22.74000,11.9572,-0.4440680100562200%,1.3463800653828100%,0.6958703200073750%,-0.0000000000000111%,0.00%,0.00%,-0.26%,"29,764.52",8.93,"1,604.19",0.47,0.49%
4,1873,"1,873.25",N/A,13.22520,128.46920,119.21580,117.77890,22.74000,11.7830,-0.9103775949772190%,1.2254983124243800%,0.6958491856538190%,-0.0000000000000111%,0.00%,0.00%,-0.62%,"29,843.07",8.89,"1,584.56",0.46,0.57%
5,1873,"1,873.33",N/A,12.93980,129.50350,121.49340,118.59840,22.74000,12.0545,3.0284511043382700%,4.1582208752264200%,2.9167399367435300%,2.2055982318119200%,0.00%,0.00%,2.92%,"30,028.95",8.75,"1,541.15",0.45,0.71%
6,1873,"1,873.42",N/A,12.55920,128.64010,123.46190,119.42370,22.74000,12.2239,2.3435436720768800%,4.6998013319479000%,3.7474138676411500%,3.0304477992228600%,0.00%,0.00%,2.60%,"29,176.17",8.27,"1,492.40",0.44,0.91%
7,1873,"1,873.50",N/A,12.55920,129.06660,120.92980,120.25470,22.74000,12.1619,0.3315451402789770%,-2.0509161125820900%,0.6958417801491650%,-0.0000000000000111%,0.00%,0.00%,0.15%,"28,436.47",7.58,"1,396.24",0.41,0.77%
8,1873,"1,873.58",N/A,12.55920,129.81840,121.23610,121.09140,22.74000,12.1247,0.5824899702943980%,0.2532874444512330%,0.6957732213377140%,-0.0000000000000111%,0.00%,0.00%,0.45%,"28,394.27",7.62,"1,398.70",0.41,0.83%
9,1873,"1,873.67",N/A,12.55920,120.51470,119.00740,121.93400,22.74000,11.1636,-7.1667036413944200%,-1.8383138355654900%,0.6958380198758940%,-0.0000000000000111%,0.00%,0.00%,-5.46%,"28,266.50",7.75,"1,422.42",0.42,0.81%
10,1873,"1,873.75",N/A,12.27380,110.84270,116.77070,122.78250,22.74000,10.3960,-5.8869157222154200%,0.4021125340831540%,3.0373273646518300%,2.3252782349394700%,0.00%,0.00%,-3.93%,"29,900.39",7.99,"1,379.99",0.41,0.51%
11,1873,"1,873.83",N/A,11.89320,107.55970,117.01330,123.63680,22.74000,10.3055,0.1435092891522990%,3.4145541309903200%,3.9181972694301900%,3.2001479837217900%,0.00%,0.00%,0.92%,"31,122.74",8.28,"1,367.41",0.41,0.97%
12,1873,"1,873.92",N/A,12.17860,118.47640,123.28330,124.49720,22.74000,10.9583,7.5681309856677100%,2.8893394593537000%,-1.6638539250397400%,-2.3434549127157400%,0.00%,0.00%,5.35%,"30,838.75",8.58,"1,422.84",0.43,0.99%
1,1874,"1,874.00",N/A,12.36890,125.33600,122.14240,125.20890,23.09000,11.3314,4.1622300384922300%,-2.4497275783793800%,-0.9756719116631900%,-0.0230782807161378%,0.00%,0.00%,3.00%,"29,271.45",8.36,"1,452.01",0.44,0.88%
2,1874,"1,874.08",N/A,12.36890,129.55090,125.02870,125.92460,23.09000,11.6346,3.3628805770090200%,2.3630614757856400%,0.5716047341682630%,0.0000000000000000%,0.00%,0.00%,2.64%,"28,419.69",8.33,"1,482.78",0.45,1.20%
3,1874,"1,874.17",N/A,12.36890,128.42660,126.34350,126.64450,23.09000,11.4303,-0.8678442218464030%,1.0515985529722300%,0.5716913136908810%,0.0000000000000000%,0.00%,0.00%,-0.60%,"27,687.95",8.07,"1,466.36",0.45,1.18%
4,1874,"1,874.25",N/A,12.17860,125.27720,127.70270,127.36850,23.09000,11.2576,-0.9280377371190920%,2.6551844710125400%,2.1431888947952300%,1.5625769792915400%,0.00%,0.00%,-0.25%,"27,853.91",8.03,"1,443.97",0.44,1.30%
5,1874,"1,874.33",N/A,12.08350,122.89320,128.27900,128.09660,23.09000,11.0156,-1.1309332262404900%,1.2418578767819700%,1.3631710412834700%,0.7870236272603080%,0.00%,0.00%,-0.63%,"27,923.23",8.08,"1,442.40",0.44,1.05%
6,1874,"1,874.42",N/A,11.79810,122.89080,129.19710,128.82890,23.09000,11.1960,2.4170334163136100%,3.1520523426313000%,3.0045405912315000%,2.4190335732024800%,0.00%,0.00%,2.46%,"28,099.18",8.20,"1,447.48",0.44,0.92%
7,1874,"1,874.50",N/A,11.89320,123.57290,125.27610,129.56540,23.09000,11.0656,-0.2490092067228170%,-3.8102468832008100%,-0.2324994083074740%,-0.7996165876299030%,0.00%,0.00%,-0.53%,"27,425.43",8.26,"1,485.85",0.46,0.78%
8,1874,"1,874.58",N/A,11.79810,124.59770,125.92960,130.30610,23.09000,11.1433,1.6420547740588500%,1.3319145819339800%,1.3823504938071900%,0.8060619930327920%,0.00%,0.00%,1.46%,"27,572.86",8.56,"1,524.44",0.47,0.87%
9,1874,"1,874.67",N/A,11.79810,127.37090,126.04180,131.05100,23.09000,11.2802,2.2257232677649800%,0.0890974004523093%,0.5716539747563590%,0.0000000000000000%,0.00%,0.00%,1.68%,"27,175.59",8.55,"1,537.44",0.48,1.03%
10,1874,"1,874.75",N/A,11.60770,127.72250,126.69960,131.80010,23.09000,11.4036,1.9208626380184300%,2.1707413717638100%,2.2212760796227000%,1.6402904968253700%,0.00%,0.00%,1.88%,"26,727.57",8.40,"1,527.90",0.48,1.17%
11,1874,"1,874.83",N/A,11.51270,129.12640,128.85470,132.55360,23.09000,11.5597,1.9334257030077400%,2.5401640109468600%,1.4015923085618500%,0.8251756755582870%,0.00%,0.00%,1.74%,"26,234.43",8.17,"1,507.47",0.47,1.10%
12,1874,"1,874.92",N/A,11.51270,129.48950,131.36380,133.31140,23.09000,11.4439,0.2811973384218900%,1.9472320373257600%,0.5716932621973260%,0.0000000000000000%,0.00%,0.00%,0.31%,"25,784.59",8.48,"1,583.43",0.50,1.02%
1,1875,"1,875.00",N/A,11.51270,130.25780,129.97150,133.86240,23.54000,11.4060,0.5933299611165400%,-1.0598810326741500%,0.4133179908095030%,1.9488956258120400%,0.00%,0.00%,0.78%,"25,704.71",8.76,"1,633.83",0.51,1.14%
2,1875,"1,875.08",N/A,11.51270,130.67790,131.46590,134.41570,23.54000,11.3497,0.3225142755366670%,1.1497905310010400%,0.4133348871677050%,0.0000000000000000%,0.00%,0.00%,0.30%,"25,504.68",8.85,"1,656.41",0.52,1.04%
3,1875,"1,875.17",N/A,11.51270,132.88840,132.13010,134.97130,23.54000,11.4746,1.6915637609725900%,0.5052260700303180%,0.4133445720998500%,0.0000000000000000%,0.00%,0.00%,1.30%,"25,427.92",8.97,"1,674.77",0.53,0.99%
4,1875,"1,875.25",N/A,11.60770,135.41840,134.32990,135.52920,23.54000,11.5096,1.0698493458627400%,0.8328262858836590%,-0.4084580453253440%,-0.8184222541933410%,0.00%,0.00%,0.68%,"25,102.48",8.39,"1,580.04",0.50,0.84%
5,1875,"1,875.33",N/A,11.32230,131.06010,136.60360,136.08930,23.54000,11.3308,-0.7788322237882170%,4.2559789540140200%,2.9443753582901500%,2.5206892592494200%,0.00%,0.00%,0.14%,"24,932.24",8.61,"1,624.08",0.52,1.09%
6,1875,"1,875.42",N/A,11.13210,128.87480,138.60600,136.65180,23.54000,11.2796,0.0126807477273116%,3.1994647347567200%,2.1289661159881200%,1.7085725065351800%,0.00%,0.00%,0.51%,"24,898.55",8.91,"1,675.40",0.54,1.10%
7,1875,"1,875.50",N/A,11.13210,129.91310,133.67480,137.21670,23.54000,11.2936,0.8056656537973160%,-3.5577103444295300%,0.4133864317923400%,0.0000000000000000%,0.00%,0.00%,0.43%,"24,771.30",8.82,"1,659.88",0.53,1.12%
8,1875,"1,875.58",N/A,11.22720,131.31960,134.07690,137.78380,23.54000,11.2422,0.2264262034608280%,-0.5487933478196090%,-0.4372628895415450%,-0.8470500213766610%,0.00%,0.00%,-0.02%,"24,665.51",8.95,"1,682.91",0.54,0.96%
9,1875,"1,875.67",N/A,11.13210,130.51540,134.33110,138.35330,23.54000,11.2348,0.2366555492075760%,1.0454986065184400%,1.2711459713275800%,0.8542862532675780%,0.00%,0.00%,0.40%,"24,671.57",9.00,"1,684.04",0.54,1.04%
10,1875,"1,875.75",N/A,11.13210,129.33910,135.22820,138.92520,23.54000,11.0568,-0.9012729532300480%,0.6678274800102190%,0.4133620231682180%,0.0000000000000000%,0.00%,0.00%,-0.64%,"24,572.51",9.17,"1,714.56",0.56,0.91%
11,1875,"1,875.83",N/A,11.03690,131.89050,136.41330,139.49940,23.54000,11.3399,2.8522203071980900%,1.7464907366219000%,1.2794420902162400%,0.8625610452210220%,0.00%,0.00%,2.40%,"24,730.80",9.66,"1,785.48",0.58,0.85%
12,1875,"1,875.92",N/A,10.94170,132.61260,137.81150,140.07600,23.54000,11.4471,1.4223291326291000%,1.9039572097952200%,1.2869972936478100%,0.8700658946964260%,0.00%,0.00%,1.34%,"24,150.82",9.28,"1,749.20",0.57,0.85%
1,1876,"1,876.00",N/A,10.84660,136.41590,136.07520,140.69820,22.30000,11.7965,3.7698959386628200%,-0.3941834623121810%,1.3248543990118000%,-4.4370422464096100%,0.00%,0.00%,1.92%,"23,831.84",9.57,"1,819.34",0.60,0.90%
2,1876,"1,876.08",N/A,10.84660,139.10400,137.91480,141.32310,22.30000,11.9681,1.9705180994297600%,1.3518995379025800%,0.4441421425434020%,0.0000000000000000%,0.00%,0.00%,1.55%,"23,382.25",9.41,"1,814.46",0.60,0.92%
3,1876,"1,876.17",N/A,10.84660,139.46660,137.96750,141.95080,22.30000,11.9574,0.2606682769726200%,0.0382119975520956%,0.4441595181537750%,0.0000000000000000%,0.00%,0.00%,0.20%,"23,025.81",8.99,"1,752.31",0.58,0.88%
4,1876,"1,876.25",N/A,10.75150,134.79180,138.08530,142.58130,22.30000,11.6267,-2.4970345138762100%,0.9706653985885220%,1.3326245086341200%,0.8845277403153110%,0.00%,0.00%,-1.64%,"22,979.87",8.65,"1,681.80",0.56,0.89%
5,1876,"1,876.33",N/A,10.37090,130.46450,138.63800,143.21460,22.30000,11.6284,0.3417090759597170%,4.0848329135554600%,4.1303520829403500%,3.6698840023527300%,0.00%,0.00%,1.20%,"23,364.17",8.91,"1,695.72",0.57,0.88%
6,1876,"1,876.42",N/A,10.08540,130.40760,140.43580,143.85070,22.30000,11.8884,2.7859767409987400%,4.1642921807148800%,3.2875567352155000%,2.8308247565788300%,0.00%,0.00%,2.87%,"23,087.81",8.96,"1,716.45",0.57,0.96%
7,1876,"1,876.50",N/A,10.08540,129.52890,138.15130,144.48970,22.30000,11.7601,-0.6738104220919690%,-1.6267219612093400%,0.4442105599764320%,0.0000000000000000%,0.00%,0.00%,-0.58%,"22,444.47",9.07,"1,779.72",0.60,1.12%
8,1876,"1,876.58",N/A,10.18060,124.72650,135.92260,145.13150,22.30000,11.1840,-4.6080313492440200%,-2.5332576526365200%,-0.4950815852854170%,-0.9351118794570070%,0.00%,0.00%,-3.77%,"22,576.36",9.39,"1,822.98",0.61,0.95%
9,1876,"1,876.67",N/A,10.27570,117.92400,133.98450,145.77610,22.30000,10.4232,-6.3289423003319700%,-2.3381730775591900%,-0.4854459972270960%,-0.9254843952236860%,0.00%,0.00%,-5.05%,"23,460.15",10.17,"1,891.03",0.64,0.67%
10,1876,"1,876.75",N/A,10.46600,117.79170,133.44890,146.42360,22.30000,10.2009,-1.9284196501054200%,-2.2107479237391300%,-1.3821706426813100%,-1.8182686795337200%,0.00%,0.00%,-1.92%,"24,706.92",10.86,"1,909.54",0.65,0.43%
11,1876,"1,876.83",N/A,10.56120,116.45940,134.37990,147.07390,22.30000,9.9424,-2.0222815726402100%,-0.2100560659353270%,-0.4612936984398580%,-0.9014127182517150%,0.00%,0.00%,-1.70%,"25,190.06",10.79,"1,850.86",0.63,0.27%
12,1876,"1,876.92",N/A,10.75150,116.34050,134.65490,147.72720,22.30000,9.7407,-1.8702741707956400%,-1.5689640469676600%,-1.3336493713505900%,-1.7699855834069600%,0.00%,0.00%,-1.83%,"25,627.00",11.14,"1,868.10",0.64,-0.02%
1,1877,"1,877.00",N/A,10.94170,116.13030,132.01670,148.34640,21.25000,9.5226,-1.9158397609193500%,-3.6634771337530500%,-1.3264390621229000%,-6.3649757083926800%,0.00%,0.00%,-2.89%,"26,105.43",11.53,"1,887.98",0.65,-0.30%
2,1877,"1,877.08",N/A,10.65630,109.82980,131.91770,148.96820,21.25000,9.2301,-2.8924472345918100%,2.6012289733471600%,3.1086078924827300%,2.6782279027429900%,0.00%,0.00%,-1.50%,"26,882.48",11.87,"1,876.03",0.65,-0.19%
3,1877,"1,877.17",N/A,10.18060,104.70390,131.43810,149.59270,21.25000,9.1967,-0.2125947229226880%,4.2920648578855400%,5.1114179892372000%,4.6726126161522800%,0.00%,0.00%,0.99%,"27,292.17",12.59,"1,949.72",0.67,0.16%
4,1877,"1,877.25",N/A,10.46600,97.89820,132.84840,150.21970,21.25000,8.3160,-9.0496254354334800%,-1.6832079938413800%,-2.3192167650172200%,-2.7269252818650800%,0.00%,0.00%,-7.41%,"27,024.04",12.65,"1,966.13",0.68,-0.06%
5,1877,"1,877.33",N/A,10.65630,98.44810,135.25130,150.84940,21.25000,8.1879,-1.2341230709191500%,-0.0093453202549165%,-1.3740978563932600%,-1.7857980725017200%,0.00%,0.00%,-1.28%,"29,188.12",13.88,"1,986.27",0.69,-0.40%
6,1877,"1,877.42",N/A,10.08540,91.92420,133.93310,151.48170,21.25000,8.0540,-1.3411995115938000%,4.6308573109029100%,6.1035449531569500%,5.6606579808435900%,0.00%,0.00%,0.36%,"29,566.79",14.58,"2,045.66",0.72,-0.36%
7,1877,"1,877.50",N/A,10.18060,96.19400,134.44220,152.11660,21.25000,8.3449,3.6663669400170300%,-0.5585512343127540%,-0.5199046467171290%,-0.9351118794570070%,0.00%,0.00%,2.54%,"29,460.65",14.30,"2,000.75",0.70,-0.27%
8,1877,"1,877.58",N/A,9.80000,103.36120,133.67270,152.75430,21.25000,9.2945,11.6238138574556000%,3.2890797574825800%,4.3191724127734600%,3.8836734693877400%,0.00%,0.00%,9.66%,"28,731.64",14.93,"2,126.94",0.75,0.21%
9,1877,"1,877.67",N/A,9.70480,110.12880,130.82990,153.39460,21.25000,9.9836,7.5927109378675300%,-1.1665910773955000%,1.4042396258882500%,0.9809578765147100%,0.00%,0.00%,5.83%,"26,200.28",14.19,"2,203.19",0.78,0.31%
10,1877,"1,877.75",N/A,9.70480,113.10300,130.86010,154.03750,21.25000,10.2107,2.7006559592041200%,0.0230834083034370%,0.4191151448616810%,0.0000000000000000%,0.00%,0.00%,2.03%,"24,755.81",13.70,"2,236.59",0.80,0.50%
11,1877,"1,877.83",N/A,9.51460,111.83690,132.00880,154.68320,21.25000,10.2682,0.8572333270043590%,2.8943884046208200%,2.4265963248946600%,1.9990330649738400%,0.00%,0.00%,1.19%,"24,263.47",12.95,"2,145.95",0.77,0.76%
12,1877,"1,877.92",N/A,9.51460,111.85040,131.95330,155.33160,21.25000,10.2441,0.0120711500408044%,-0.0420426517019901%,0.4191793291062010%,0.0000000000000000%,0.00%,0.00%,0.01%,"23,978.14",13.57,"2,262.41",0.81,0.88%
1,1878,"1,878.00",N/A,9.22910,112.30990,132.38430,155.96590,20.69000,10.5679,3.5170011739148700%,3.4302110225935500%,3.5144605439327600%,0.3766597596986940%,0.00%,0.00%,2.89%,"23,975.87",13.81,"2,288.98",0.82,1.48%
2,1878,"1,878.08",N/A,9.13400,110.62920,132.81660,156.60270,20.69000,10.4506,-0.4709002717133590%,1.3711140913129200%,1.4537102733002400%,1.0411648784760300%,0.00%,0.00%,-0.07%,"23,303.09",13.40,"2,273.64",0.82,1.37%
3,1878,"1,878.17",N/A,8.94370,112.83030,132.35840,157.24220,20.69000,10.8755,4.1597083299980400%,1.7754272581171200%,2.5448018149117000%,2.1277547323814500%,0.00%,0.00%,3.64%,"23,320.32",13.43,"2,263.69",0.82,1.16%
4,1878,"1,878.25",N/A,8.84850,116.77980,131.73200,157.88430,20.69000,11.2958,4.6139383824487000%,0.5975363326383270%,1.4886329086254900%,1.0758885686839700%,0.00%,0.00%,3.71%,"22,502.01",14.05,"2,441.16",0.88,1.35%
5,1878,"1,878.33",N/A,8.56310,117.69460,134.62470,158.52890,20.69000,11.7035,4.1423682625820100%,5.6019900596120800%,3.7547861666315600%,3.3329051394938700%,0.00%,0.00%,4.06%,"21,697.47",13.91,"2,493.32",0.90,1.82%
6,1878,"1,878.42",N/A,8.37280,120.75470,133.58290,159.17630,20.69000,12.2112,4.9319646878073900%,1.4813923744239300%,2.6904974488410900%,2.2728358494171800%,0.00%,0.00%,4.23%,"20,851.73",13.45,"2,495.23",0.91,1.56%
7,1878,"1,878.50",N/A,8.46790,123.38220,132.86850,159.82620,20.69000,12.3094,1.0283972412826700%,-1.6518576014587200%,-0.7193606800260930%,-1.1230647504103900%,0.00%,0.00%,0.47%,"20,005.48",12.62,"2,427.22",0.88,1.47%
8,1878,"1,878.58",N/A,8.56310,122.49970,133.56020,160.47890,20.69000,12.0568,-1.8190522089192800%,-0.5969446497443580%,-0.7079059744317770%,-1.1117469140848500%,0.00%,0.00%,-1.61%,"19,912.57",12.70,"2,443.47",0.89,1.14%
9,1878,"1,878.67",N/A,8.56310,125.63070,134.08330,161.13420,20.69000,12.2918,2.5559246267541800%,0.3916585929041760%,0.4083402864800250%,0.0000000000000000%,0.00%,0.00%,1.94%,"20,239.23",13.66,"2,573.09",0.94,1.27%
10,1878,"1,878.75",N/A,8.46790,124.77960,133.52880,161.79210,20.69000,12.2790,0.4391675469879180%,0.7060474843277880%,1.5371291110393400%,1.1242456807472900%,0.00%,0.00%,0.59%,"19,854.25",13.52,"2,582.97",0.95,1.33%
11,1878,"1,878.83",N/A,8.37280,124.84080,134.30860,162.45280,20.69000,12.3712,1.1854243117497500%,1.7264477414224800%,1.5488226038787900%,1.1358207529142100%,0.00%,0.00%,1.21%,"19,737.40",13.70,"2,619.92",0.96,1.23%
12,1878,"1,878.92",N/A,8.18250,124.45080,135.08940,163.11610,20.69000,12.5724,2.0060317891444000%,2.9205631885864400%,2.7434941804405500%,2.3256950809655000%,0.00%,0.00%,2.12%,"19,502.38",14.79,"2,849.43",1.05,1.48%
1,1879,"1,879.00",N/A,8.27770,129.92760,134.53100,163.69380,20.67000,12.8788,3.2000849815031000%,-1.5586799014710700%,-0.7999861758149820%,-1.2456312523168300%,0.00%,0.00%,2.08%,"19,097.85",14.63,"2,864.25",1.05,1.06%
2,1879,"1,879.08",N/A,8.37280,134.95510,135.48570,164.27360,20.67000,13.1763,2.6896917722515100%,-0.4342305474805520%,-0.7856459073949500%,-1.1358207529142000%,0.00%,0.00%,1.77%,"18,709.54",14.98,"2,978.33",1.10,0.91%
3,1879,"1,879.17",N/A,8.27770,133.66750,135.34640,164.85540,20.67000,13.0932,0.1838134413865380%,1.0448733627495700%,1.5071039991769300%,1.1488698551530100%,0.00%,0.00%,0.42%,"18,383.98",14.68,"2,956.65",1.09,0.85%
4,1879,"1,879.25",N/A,8.18250,138.28150,136.81140,165.43920,20.67000,13.6568,4.6554682363989100%,2.2584597743272200%,1.5217072666611000%,1.1634586006721700%,0.00%,0.00%,3.84%,"18,306.65",14.70,"2,960.05",1.10,0.99%
5,1879,"1,879.33",N/A,8.18250,145.22860,140.42330,166.02520,20.67000,14.2431,5.0238824426984200%,2.6400577729633900%,0.3542086760574440%,0.0000000000000000%,0.00%,0.00%,3.90%,"17,629.72",14.45,"3,007.39",1.12,0.74%
6,1879,"1,879.42",N/A,8.08740,147.16000,140.10470,166.61320,20.67000,14.4514,2.5214449721892000%,0.9463498795394990%,1.5342309753311600%,1.1759032569181400%,0.00%,0.00%,2.18%,"16,967.58",13.41,"2,887.12",1.07,0.70%
7,1879,"1,879.50",N/A,8.18250,150.02220,139.53930,167.20330,20.67000,14.5350,0.7601163788131690%,-1.5611015540134800%,-0.8121791963987550%,-1.1622364802932900%,0.00%,0.00%,0.26%,"16,606.21",14.18,"3,105.12",1.16,0.71%
8,1879,"1,879.58",N/A,8.18250,151.97980,139.73690,167.79540,20.67000,14.6058,1.3048735453819600%,0.1416088514131890%,0.3541198050516890%,0.0000000000000000%,0.00%,0.00%,0.99%,"16,562.80",14.49,"3,168.06",1.18,0.77%
9,1879,"1,879.67",N/A,8.46790,158.11860,141.23360,168.38970,20.67000,14.5944,0.5327089179990360%,-2.3353904390573200%,-3.0281310793483500%,-3.3703751815680500%,0.00%,0.00%,-0.39%,"16,400.72",15.43,"3,392.37",1.27,0.54%
10,1879,"1,879.75",N/A,8.94370,175.91940,141.78540,168.98610,20.67000,15.2873,5.3390196479602400%,-4.9500306945231200%,-4.9846095521080900%,-5.3199458836946700%,0.00%,0.00%,2.70%,"16,464.74",14.95,"3,260.68",1.22,0.07%
11,1879,"1,879.83",N/A,9.41940,185.86410,143.54770,169.58460,20.67000,15.2614,0.3172830224092090%,-3.8700516509276200%,-4.7139307767274700%,-5.0502155126653500%,0.00%,0.00%,-0.96%,"16,032.62",12.41,"2,768.61",1.04,-0.40%
